,States,Max. Demand Met during the day (MW),Shortage during maximum Demand (MW),Energy Met (MU),Drawal Schedule (MU),OD(+)/UD(-) (MU),Max OD (MW),Energy Shortage (MU),Date
27,odisha,4901,0,112.6,30.8,-0.8,375,0.00,16.10.23
28,westbengal,9189,0,196.9,56.4,-1.7,203,0.00,16.10.23
29,sikkim,82,0,1.1,1.0,0.1,29,0.00,16.10.23
30,railways_east,16,0,0.2,0.2,0.0,0,0.00,16.10.23
31,arunachalpradesh,160,0,2.6,2.3,0.1,35,0.00,16.10.23
32,assam,2087,0,35.2,26.5,0.1,285,0.10,16.10.23
33,manipur,189,0,2.5,2.7,-0.2,21,0.00,16.10.23
34,meghalaya,318,0,5.4,3.0,-0.4,52,0.16,16.10.23
35,mizoram,120,0,1.9,0.9,-0.1,9,0.00,16.10.23
36,nagaland,149,0,2.4,2.4,-0.3,11,0.00,16.10.23
37,tripura,323,0,5.3,5.4,-0.2,21,0.00,16.10.23
0,punjab,7922,0,159.7,46.1,-0.7,158,0.23,17.04.23
1,haryana,8186,0,155.4,87.6,-0.5,251,3.08,17.04.23
2,rajasthan,13385,0,281.3,69.6,-1.3,243,2.67,17.04.23
3,delhi,5059,0,101.1,94.8,-3.2,103,0.00,17.04.23
4,up,22211,235,425.5,151.1,-0.2,779,3.05,17.04.23
5,uttarakhand,2228,0,42.4,26.6,0.5,124,0.89,17.04.23
6,hp,1602,0,31.5,17.2,-0.2,77,0.00,17.04.23
7,j&k(ut)&ladakh(ut),2793,135,57.5,41.3,2.0,580,1.62,17.04.23
8,chandigarh,248,0,4.9,4.9,0.0,26,0.00,17.04.23
9,railways_north,175,0,3.8,3.1,0.8,54,0.00,17.04.23
10,chhattisgarh,5574,7,128.1,74.5,-0.2,322,2.61,17.04.23
11,gujarat,21166,0,456.1,183.7,0.9,1055,0.00,17.04.23
12,mp,12244,0,266.2,143.1,-2.7,569,0.00,17.04.23
13,maharashtra,27899,0,584.9,191.8,1.0,1213,1.33,17.04.23
14,goa,743,0,15.0,15.3,-0.8,73,0.00,17.04.23
15,dnhddpdcl,1266,0,29.1,29.2,-0.1,102,0.00,17.04.23
16,amnsil,819,0,17.7,8.1,-0.1,245,0.00,17.04.23
17,balco,517,0,12.3,12.5,-0.2,0,0.00,17.04.23
18,andhrapradesh,12093,0,244.4,97.7,-1.8,821,0.00,17.04.23
19,telangana,12708,0,250.6,112.4,0.7,751,0.00,17.04.23
20,karnataka,15790,0,301.3,120.8,1.8,958,0.00,17.04.23
21,kerala,4894,0,100.6,69.3,0.7,313,0.00,17.04.23
22,tamilnadu,18563,0,380.5,238.2,-0.5,683,0.00,17.04.23
23,puducherry,427,0,9.5,9.4,-0.6,31,0.00,17.04.23
24,bihar,6143,209,127.2,115.9,-1.8,218,1.35,17.04.23
25,dvc,3547,0,77.1,-45.2,0.5,285,0.00,17.04.23
26,jharkhand,1652,238,35.2,29.3,-2.8,134,3.91,17.04.23
27,odisha,6370,0,128.8,48.8,-2.1,345,0.00,17.04.23
28,westbengal,11438,0,234.8,93.8,-1.4,359,0.00,17.04.23
29,sikkim,99,0,1.6,1.1,0.4,68,0.00,17.04.23
30,arunachalpradesh,154,0,2.6,2.4,0.1,54,0.00,17.04.23
31,assam,1969,0,35.6,28.2,0.7,331,0.46,17.04.23
32,manipur,204,26,2.8,2.6,0.2,38,0.09,17.04.23
33,meghalaya,300,38,5.3,3.3,0.6,79,1.24,17.04.23
34,mizoram,124,0,2.0,1.4,-0.1,9,0.00,17.04.23
35,nagaland,146,0,2.4,2.6,-0.2,21,0.00,17.04.23
36,tripura,336,0,6.4,5.2,0.8,94,0.00,17.04.23
0,punjab,10133,0,202.8,77.0,-0.7,177,0.00,17.05.23
1,haryana,8905,0,198.3,130.5,0.1,261,2.64,17.05.23
2,rajasthan,15537,0,310.4,72.0,-3.9,369,1.95,17.05.23
3,delhi,5867,0,118.6,107.9,-1.9,163,0.00,17.05.23
4,up,23175,120,492.5,204.5,-3.3,240,2.03,17.05.23
5,uttarakhand,2322,0,48.2,29.1,0.4,227,0.37,17.05.23
6,hp,1530,0,31.4,8.7,0.3,171,0.00,17.05.23
7,j&k(ut)&ladakh(ut),2719,0,54.4,38.4,-0.3,240,0.88,17.05.23
8,chandigarh,318,0,6.0,6.0,0.1,53,0.00,17.05.23
9,railways_north,175,0,3.9,3.1,0.7,53,0.00,17.05.23
10,chhattisgarh,4860,0,109.0,45.6,-1.6,187,0.00,17.05.23
11,gujarat,20479,0,439.4,180.3,-1.6,788,0.00,17.05.23
12,mp,12004,0,261.4,138.3,-3.7,321,0.00,17.05.23
13,maharashtra,27404,0,594.6,203.3,-0.3,806,0.74,17.05.23
14,goa,700,0,14.5,14.8,-0.7,71,0.84,17.05.23
15,dnhddpdcl,1207,0,26.4,27.0,-0.6,64,0.00,17.05.23
16,amnsil,858,0,19.3,9.8,-0.1,260,0.00,17.05.23
17,balco,519,0,12.4,12.5,-0.1,4,0.00,17.05.23
18,andhrapradesh,12482,151,249.0,106.6,5.8,1255,6.25,17.05.23
19,telangana,9627,0,198.0,75.3,1.0,513,0.00,17.05.23
20,karnataka,14353,0,274.4,91.7,7.1,1520,1.97,17.05.23
21,kerala,4726,0,99.4,67.6,0.7,275,0.00,17.05.23
22,tamilnadu,18083,0,396.7,247.0,3.4,874,0.00,17.05.23
23,puducherry,512,0,11.3,10.4,0.2,59,0.00,17.05.23
24,bihar,6214,0,121.9,112.7,-3.2,481,1.64,17.05.23
25,dvc,3626,0,77.7,-52.2,0.6,342,0.00,17.05.23
26,jharkhand,1699,101,34.5,27.6,-1.8,315,4.62,17.05.23
27,odisha,6474,0,120.6,48.7,-3.1,520,0.00,17.05.23
28,westbengal,10359,0,205.1,70.2,-2.0,351,0.00,17.05.23
29,sikkim,92,0,1.5,1.0,0.5,61,0.00,17.05.23
30,railways_east,11,0,0.1,0.2,-0.1,0,0.00,17.05.23
31,arunachalpradesh,161,0,2.7,2.4,0.2,46,0.00,17.05.23
32,assam,1701,0,26.6,20.4,0.3,147,0.13,17.05.23
33,manipur,167,0,2.2,2.3,-0.1,38,0.00,17.05.23
34,meghalaya,302,55,4.6,3.0,-0.3,45,1.17,17.05.23
35,mizoram,100,0,1.5,1.6,-0.4,4,0.00,17.05.23
36,nagaland,146,0,2.3,2.4,-0.1,11,0.00,17.05.23
37,tripura,235,0,4.2,4.1,-0.1,39,0.00,17.05.23
0,punjab,11794,0,240.4,111.7,-1.0,244,0.00,17.06.23
1,haryana,10237,0,230.1,164.3,-0.3,262,5.00,17.06.23
2,rajasthan,12474,0,254.8,45.9,-9.6,484,0.00,17.06.23
3,delhi,6531,0,132.1,119.5,-2.0,237,0.00,17.06.23
4,up,26827,0,568.5,268.7,-1.9,377,0.00,17.06.23
5,uttarakhand,2536,0,55.8,26.0,0.0,165,0.29,17.06.23
6,hp,1585,0,33.0,-0.2,-0.1,108,0.00,17.06.23
7,j&k(ut)&ladakh(ut),2480,100,52.7,26.9,2.3,256,1.38,17.06.23
8,chandigarh,332,0,6.6,6.3,0.3,38,0.00,17.06.23
9,railways_north,182,0,4.1,3.2,0.9,69,0.00,17.06.23
10,chhattisgarh,5227,0,117.8,61.5,-0.2,409,0.00,17.06.23
11,gujarat,13653,0,296.3,141.6,-2.3,853,0.00,17.06.23
12,mp,11348,0,257.8,127.7,-4.3,173,0.00,17.06.23
13,maharashtra,27188,0,613.8,184.5,5.1,1092,2.42,17.06.23
14,goa,683,0,15.0,13.6,0.9,130,0.00,17.06.23
15,dnhddpdcl,1284,0,29.9,29.9,0.0,67,0.00,17.06.23
16,amnsil,841,0,19.4,9.4,-0.1,266,0.00,17.06.23
17,balco,522,0,12.4,12.3,0.1,180,0.00,17.06.23
18,andhrapradesh,12900,0,261.0,79.4,1.0,808,0.00,17.06.23
19,telangana,11280,0,224.6,97.1,2.2,597,0.00,17.06.23
20,karnataka,13621,0,274.3,78.8,1.9,800,0.00,17.06.23
21,kerala,3924,0,81.9,62.8,2.5,616,0.00,17.06.23
22,tamilnadu,17597,0,383.2,155.3,-2.8,467,0.00,17.06.23
23,puducherry,488,0,11.3,10.7,-0.1,73,0.00,17.06.23
24,bihar,7056,577,148.3,137.4,0.2,404,4.45,17.06.23
25,dvc,3512,0,80.1,-52.6,0.5,298,0.00,17.06.23
26,jharkhand,1902,0,43.3,33.7,0.7,157,0.51,17.06.23
27,odisha,5966,0,130.2,49.6,-0.6,457,0.00,17.06.23
28,westbengal,11226,0,227.6,90.9,-3.1,329,0.00,17.06.23
29,sikkim,83,0,1.2,1.3,0.0,35,0.00,17.06.23
30,railways_east,25,0,0.1,0.2,-0.1,7,0.00,17.06.23
31,arunachalpradesh,146,0,2.3,2.5,-0.2,21,0.00,17.06.23
32,assam,1518,0,26.5,20.1,0.2,128,0.00,17.06.23
33,manipur,158,0,2.2,2.5,-0.3,28,0.00,17.06.23
34,meghalaya,288,6,4.4,0.6,-0.1,55,0.63,17.06.23
35,mizoram,105,0,1.7,1.7,-0.2,24,0.00,17.06.23
36,nagaland,131,0,2.3,2.1,-0.1,11,0.00,17.06.23
37,tripura,237,0,3.7,4.3,-0.5,29,0.00,17.06.23
0,punjab,14352,0,299.2,167.6,-0.3,112,0.00,17.07.23
1,haryana,10473,0,218.9,168.0,-0.2,232,0.00,17.07.23
2,rajasthan,12218,0,275.6,91.5,-1.2,329,1.28,17.07.23
3,delhi,6165,0,127.2,123.0,-1.8,85,0.00,17.07.23
4,up,25732,0,502.4,230.0,-0.9,379,1.23,17.07.23
5,uttarakhand,2099,0,45.3,27.3,0.4,155,0.03,17.07.23
6,hp,1614,0,33.0,3.3,0.2,116,0.07,17.07.23
7,j&k(ut)&ladakh(ut),2486,0,53.2,27.8,-0.8,257,0.00,17.07.23
8,chandigarh,368,0,7.2,7.1,0.2,38,0.00,17.07.23
9,railways_north,171,0,3.2,3.4,-0.2,35,0.00,17.07.23
10,chhattisgarh,4300,0,98.1,50.7,-2.2,164,0.00,17.07.23
11,gujarat,17107,0,380.7,167.9,-1.4,766,0.00,17.07.23
12,mp,10344,0,226.7,112.3,-2.8,336,0.00,17.07.23
13,maharashtra,22843,0,499.1,185.4,-6.3,612,0.00,17.07.23
14,goa,618,0,12.9,12.6,-0.1,43,0.00,17.07.23
15,dnhddpdcl,1276,0,29.5,29.7,-0.2,57,0.00,17.07.23
16,amnsil,820,0,18.4,11.6,-0.3,221,0.00,17.07.23
17,balco,517,0,12.4,12.5,-0.1,2,0.00,17.07.23
18,andhrapradesh,9939,0,209.5,46.8,0.3,730,0.00,17.07.23
19,telangana,12134,0,246.1,122.9,1.0,993,0.00,17.07.23
20,karnataka,12053,0,215.6,54.8,-0.1,452,0.00,17.07.23
21,kerala,3906,0,79.4,54.8,1.6,221,0.00,17.07.23
22,tamilnadu,16762,0,357.0,157.1,-2.4,588,0.00,17.07.23
23,puducherry,455,0,10.0,9.4,-0.1,36,0.00,17.07.23
24,bihar,6744,112,140.1,129.1,1.3,207,1.27,17.07.23
25,dvc,3465,0,74.3,-39.7,0.0,417,0.00,17.07.23
26,jharkhand,1657,0,34.8,31.1,0.6,224,0.63,17.07.23
27,odisha,6272,0,123.4,35.9,-1.8,304,0.00,17.07.23
28,westbengal,9571,0,201.2,89.6,-1.3,454,0.00,17.07.23
29,sikkim,80,0,1.2,0.8,0.4,81,0.00,17.07.23
30,railways_east,23,0,0.1,0.4,-0.2,9,0.00,17.07.23
31,arunachalpradesh,165,0,2.7,2.5,-0.3,18,0.00,17.07.23
32,assam,2065,0,38.2,30.9,0.4,128,0.00,17.07.23
33,manipur,187,0,2.6,2.6,0.0,29,0.00,17.07.23
34,meghalaya,325,4,5.4,0.9,-0.1,45,0.47,17.07.23
35,mizoram,109,0,1.8,1.7,-0.2,10,0.00,17.07.23
36,nagaland,143,0,2.7,2.3,0.0,16,0.00,17.07.23
37,tripura,323,0,5.7,5.8,-0.1,55,0.00,17.07.23
0,punjab,14573,0,314.2,176.5,0.2,166,0.00,17.08.23
1,haryana,12484,0,262.1,198.4,0.4,172,8.92,17.08.23
2,rajasthan,16911,0,342.8,115.0,2.5,332,11.42,17.08.23
3,delhi,6912,0,139.1,120.2,-2.5,199,0.00,17.08.23
4,up,25220,800,552.7,252.6,0.5,623,10.35,17.08.23
5,uttarakhand,2099,0,46.0,25.2,0.8,154,2.18,17.08.23
6,hp,1583,0,33.9,-2.3,-0.4,115,0.00,17.08.23
7,j&k(ut)&ladakh(ut),2540,0,52.2,28.0,-1.6,294,0.00,17.08.23
8,chandigarh,397,0,7.6,7.4,0.2,24,0.00,17.08.23
9,railways_north,161,0,3.3,3.0,0.3,50,0.00,17.08.23
10,chhattisgarh,5757,0,127.2,72.5,-2.1,305,0.55,17.08.23
11,gujarat,20991,0,441.9,154.6,-8.4,628,0.00,17.08.23
12,mp,12604,0,274.3,143.9,-3.7,496,0.00,17.08.23
13,maharashtra,26056,0,564.9,208.1,-0.4,907,8.33,17.08.23
14,goa,636,0,13.3,13.2,-0.3,36,0.00,17.08.23
15,dnhddpdcl,1327,0,30.7,30.7,0.0,53,0.00,17.08.23
16,amnsil,896,0,18.8,7.8,0.6,332,0.00,17.08.23
17,balco,521,0,12.4,12.5,-0.1,9,0.00,17.08.23
18,andhrapradesh,11988,0,237.1,84.3,0.8,583,0.00,17.08.23
19,telangana,13262,0,268.6,137.8,1.4,772,0.00,17.08.23
20,karnataka,15966,0,282.1,106.3,2.5,1159,5.55,17.08.23
21,kerala,4233,0,86.5,66.1,2.2,313,0.00,17.08.23
22,tamilnadu,17244,0,366.7,141.6,-1.5,448,0.00,17.08.23
23,puducherry,458,0,9.9,9.5,-0.3,20,0.00,17.08.23
24,bihar,6874,207,137.3,136.5,-1.7,486,3.15,17.08.23
25,dvc,3401,0,73.3,-41.3,0.0,587,0.00,17.08.23
26,jharkhand,1669,0,36.4,31.3,0.8,275,0.75,17.08.23
27,odisha,4939,0,111.1,41.4,-0.7,293,0.00,17.08.23
28,westbengal,9484,0,208.2,85.4,-2.0,193,0.00,17.08.23
29,sikkim,83,0,1.2,1.0,0.2,36,0.00,17.08.23
30,railways_east,0,0,0.0,0.2,-0.2,19,0.00,17.08.23
31,arunachalpradesh,164,0,3.1,2.5,0.0,53,0.00,17.08.23
32,assam,2320,0,45.7,37.5,1.1,316,2.29,17.08.23
33,manipur,191,0,2.7,2.7,0.0,23,0.00,17.08.23
34,meghalaya,286,20,5.2,0.3,-0.2,48,0.47,17.08.23
35,mizoram,106,0,1.9,1.6,-0.3,16,0.00,17.08.23
36,nagaland,166,0,3.0,2.7,-0.1,15,0.00,17.08.23
37,tripura,337,0,5.0,6.4,-0.5,96,0.00,17.08.23
0,punjab,10858,0,196.0,111.9,-5.0,241,0.00,17.09.23
1,haryana,8546,0,177.5,136.9,-3.1,167,0.00,17.09.23
2,rajasthan,10600,0,235.3,75.8,-9.0,307,0.00,17.09.23
3,delhi,5162,0,108.2,97.2,-1.5,193,0.00,17.09.23
4,up,22189,0,429.2,200.4,-2.6,389,0.00,17.09.23
5,uttarakhand,1822,0,39.5,16.9,-0.3,170,0.00,17.09.23
6,hp,1514,0,30.4,2.0,-0.7,55,0.00,17.09.23
7,j&k(ut)&ladakh(ut),2280,0,47.7,23.4,1.2,209,0.00,17.09.23
8,chandigarh,302,0,6.0,5.4,0.5,69,0.00,17.09.23
9,railways_north,156,0,3.4,3.6,-0.1,20,0.00,17.09.23
10,chhattisgarh,4184,0,93.7,41.1,-2.6,195,0.00,17.09.23
11,gujarat,17288,0,369.0,155.1,-1.1,979,0.00,17.09.23
12,mp,9587,0,191.3,69.5,-4.7,505,0.00,17.09.23
13,maharashtra,23065,0,508.6,195.2,-2.6,966,0.00,17.09.23
14,goa,622,0,13.9,12.5,1.1,43,0.00,17.09.23
15,dnhddpdcl,1245,0,28.0,28.0,0.0,186,0.00,17.09.23
16,amnsil,883,0,18.7,10.1,0.0,282,0.00,17.09.23
17,balco,521,0,12.4,12.5,-0.1,0,0.00,17.09.23
18,andhrapradesh,11076,0,226.5,80.6,-0.4,681,0.00,17.09.23
19,telangana,13242,0,259.1,138.9,0.1,742,0.00,17.09.23
20,karnataka,12362,0,231.9,72.0,0.6,714,0.00,17.09.23
21,kerala,3455,0,70.5,57.3,1.2,224,0.00,17.09.23
22,tamilnadu,14111,0,314.3,144.5,-7.7,600,0.00,17.09.23
23,puducherry,373,0,8.4,8.1,-0.5,59,0.00,17.09.23
24,bihar,7143,100,152.9,150.0,-0.4,426,0.39,17.09.23
25,dvc,3469,0,75.4,-30.5,0.4,339,0.00,17.09.23
26,jharkhand,1792,0,37.9,31.2,0.7,278,1.21,17.09.23
27,odisha,6070,0,122.4,56.9,-1.6,457,0.00,17.09.23
28,westbengal,9930,0,205.8,81.4,-3.5,88,0.00,17.09.23
29,sikkim,56,0,0.9,0.9,0.0,25,0.00,17.09.23
30,railways_east,19,0,0.2,0.2,0.0,0,0.00,17.09.23
31,arunachalpradesh,170,0,3.1,3.0,-0.2,46,0.00,17.09.23
32,assam,2375,0,47.1,37.7,2.3,357,0.26,17.09.23
33,manipur,192,0,2.8,2.9,0.0,12,0.00,17.09.23
34,meghalaya,306,10,5.6,2.2,-0.1,37,0.27,17.09.23
35,mizoram,95,0,1.7,1.1,-0.2,54,0.00,17.09.23
36,nagaland,170,0,3.0,2.8,-0.3,14,0.00,17.09.23
37,tripura,303,0,5.9,5.8,0.2,32,0.00,17.09.23
0,punjab,6868,0,133.9,42.5,-1.1,252,0.00,17.10.23
1,haryana,7288,0,146.2,91.5,-2.0,231,0.00,17.10.23
2,rajasthan,13367,0,266.2,66.9,-8.5,191,0.00,17.10.23
3,delhi,4022,0,81.7,66.0,-2.1,59,0.00,17.10.23
4,up,17736,0,300.2,99.7,-2.8,1393,0.00,17.10.23
5,uttarakhand,1923,0,37.2,23.1,0.3,203,0.00,17.10.23
6,hp,1794,0,32.9,19.9,0.0,55,0.00,17.10.23
7,j&k(ut)&ladakh(ut),2480,0,47.8,36.6,0.1,204,0.12,17.10.23
8,chandigarh,207,0,3.7,4.1,-0.5,9,0.00,17.10.23
9,railways_north,177,0,3.4,3.5,0.0,24,0.00,17.10.23
10,chhattisgarh,5266,0,120.1,58.7,-0.5,190,0.00,17.10.23
11,gujarat,20953,0,422.5,163.1,-2.1,623,0.00,17.10.23
12,mp,13124,0,286.7,187.6,-5.4,722,0.00,17.10.23
13,maharashtra,28206,0,618.7,282.9,-3.4,1020,0.79,17.10.23
14,goa,699,0,14.3,13.1,0.8,95,0.00,17.10.23
15,dnhddpdcl,1295,0,29.9,30.1,-0.2,38,0.00,17.10.23
16,amnsil,738,0,15.1,6.5,-0.5,304,0.00,17.10.23
17,balco,523,0,12.4,12.5,-0.1,30,0.00,17.10.23
18,andhrapradesh,12513,0,244.7,127.4,-0.5,1087,0.00,17.10.23
19,telangana,14349,0,283.6,156.3,-1.5,479,0.00,17.10.23
20,karnataka,14651,0,267.0,103.0,-2.1,634,0.00,17.10.23
21,kerala,3946,0,80.7,62.2,0.7,290,0.00,17.10.23
22,tamilnadu,15709,0,320.0,200.7,-3.1,629,0.00,17.10.23
23,puducherry,454,0,10.0,9.5,-0.3,47,0.00,17.10.23
24,bihar,5589,367,113.9,100.9,2.8,346,1.72,17.10.23
25,dvc,3333,0,72.4,-30.1,0.3,310,0.00,17.10.23
26,jharkhand,1513,171,32.2,23.8,-1.0,220,4.56,17.10.23
27,odisha,5182,0,116.4,35.3,-1.1,384,0.00,17.10.23
28,westbengal,9244,0,199.1,59.4,-2.5,133,0.00,17.10.23
29,sikkim,82,0,1.2,0.9,0.3,41,0.00,17.10.23
30,railways_east,32,0,0.2,0.2,0.0,0,0.00,17.10.23
31,arunachalpradesh,149,0,2.5,2.2,0.1,48,0.00,17.10.23
32,assam,2098,0,36.7,27.6,0.8,250,0.16,17.10.23
33,manipur,201,0,2.7,2.7,0.0,30,0.00,17.10.23
34,meghalaya,326,16,5.7,3.2,-0.2,73,0.15,17.10.23
35,mizoram,122,0,1.9,0.8,-0.1,23,0.00,17.10.23
36,nagaland,160,0,2.6,2.5,-0.1,17,0.00,17.10.23
37,tripura,352,0,6.0,5.1,0.6,87,0.00,17.10.23
0,punjab,8024,0,160.5,47.0,-1.8,129,0.00,18.04.23
1,haryana,8198,38,164.8,92.2,-0.5,179,5.40,18.04.23
2,rajasthan,13630,0,277.0,66.5,-1.0,206,4.33,18.04.23
3,delhi,5324,0,109.1,100.1,-1.7,90,0.00,18.04.23
4,up,22490,427,439.7,158.7,-1.9,327,4.07,18.04.23
5,uttarakhand,2142,0,43.9,27.1,0.7,213,1.67,18.04.23
6,hp,1631,0,31.8,16.2,0.1,89,0.00,18.04.23
7,j&k(ut)&ladakh(ut),2735,180,50.3,37.8,1.2,522,2.41,18.04.23
8,chandigarh,278,0,5.2,5.2,0.1,29,0.00,18.04.23
9,railways_north,178,0,3.8,3.0,0.8,60,0.00,18.04.23
10,chhattisgarh,5642,0,129.7,75.9,-0.4,463,2.38,18.04.23
11,gujarat,21627,0,461.7,182.8,1.6,1061,0.00,18.04.23
12,mp,12221,0,269.5,142.8,-4.2,330,0.00,18.04.23
13,maharashtra,28584,0,602.6,195.3,1.3,965,0.85,18.04.23
14,goa,759,0,16.6,15.3,0.8,84,0.00,18.04.23
15,dnhddpdcl,1266,0,29.3,29.9,-0.6,25,0.00,18.04.23
16,amnsil,820,0,17.4,7.5,-0.5,255,0.00,18.04.23
17,balco,519,0,12.4,12.5,-0.1,7,0.00,18.04.23
18,andhrapradesh,12020,0,246.4,100.4,-0.4,501,0.00,18.04.23
19,telangana,12607,0,251.3,110.4,1.0,941,0.00,18.04.23
20,karnataka,15798,0,305.6,117.7,0.6,643,0.00,18.04.23
21,kerala,5024,0,103.1,71.1,0.9,326,0.00,18.04.23
22,tamilnadu,18882,0,404.0,245.4,5.1,1015,0.00,18.04.23
23,puducherry,448,0,10.2,9.8,-0.2,77,0.00,18.04.23
24,bihar,6171,104,131.9,122.0,1.5,241,1.96,18.04.23
25,dvc,3751,0,79.3,-50.6,2.3,502,0.00,18.04.23
26,jharkhand,1803,0,32.9,28.0,-3.1,309,4.72,18.04.23
27,odisha,6816,0,139.7,58.4,-1.1,415,0.00,18.04.23
28,westbengal,11868,0,245.7,103.6,-0.9,408,0.00,18.04.23
29,sikkim,104,0,1.6,1.0,0.6,70,0.00,18.04.23
30,arunachalpradesh,142,0,2.6,2.4,0.2,43,0.00,18.04.23
31,assam,2024,0,37.7,29.4,1.5,257,0.07,18.04.23
32,manipur,198,24,2.7,2.7,0.1,40,0.06,18.04.23
33,meghalaya,324,31,5.3,3.4,0.6,68,1.23,18.04.23
34,mizoram,122,0,2.0,1.5,-0.1,19,0.00,18.04.23
35,nagaland,140,0,2.4,2.5,-0.2,16,0.00,18.04.23
36,tripura,347,0,6.6,5.3,0.8,91,0.00,18.04.23
0,punjab,8183,0,144.4,47.0,-4.3,360,0.00,18.05.23
1,haryana,8744,400,153.0,104.2,-5.1,428,1.22,18.05.23
2,rajasthan,14860,0,287.3,82.2,0.1,280,6.00,18.05.23
3,delhi,5593,0,110.8,101.7,-3.9,45,0.00,18.05.23
4,up,23671,340,442.2,184.7,-1.4,649,3.18,18.05.23
5,uttarakhand,2192,0,37.9,21.5,-3.9,262,0.01,18.05.23
6,hp,1477,0,30.5,8.2,0.6,145,0.01,18.05.23
7,j&k(ut)&ladakh(ut),2700,285,55.8,36.5,-0.5,339,0.83,18.05.23
8,chandigarh,268,0,5.0,5.6,-0.6,16,0.00,18.05.23
9,railways_north,179,0,3.9,3.1,0.8,64,0.00,18.05.23
10,chhattisgarh,4815,0,108.8,48.9,-0.3,449,0.00,18.05.23
11,gujarat,20737,0,446.2,191.6,-6.0,860,0.00,18.05.23
12,mp,12155,0,265.4,144.4,-3.0,1309,0.00,18.05.23
13,maharashtra,27626,0,596.7,212.2,-1.0,1152,1.01,18.05.23
14,goa,755,0,16.2,15.3,0.5,89,0.00,18.05.23
15,dnhddpdcl,1209,0,28.1,28.1,0.0,80,0.00,18.05.23
16,amnsil,830,0,19.0,9.8,-0.2,259,0.00,18.05.23
17,balco,519,0,12.4,12.4,0.0,9,0.00,18.05.23
18,andhrapradesh,12653,0,251.0,103.5,3.0,1057,0.00,18.05.23
19,telangana,9790,0,200.8,76.2,1.9,720,0.00,18.05.23
20,karnataka,14690,0,283.5,99.0,5.8,1381,0.50,18.05.23
21,kerala,4692,0,98.2,68.3,0.5,283,0.00,18.05.23
22,tamilnadu,18658,0,397.1,246.8,-1.1,788,0.00,18.05.23
23,puducherry,508,0,11.6,10.4,0.5,75,0.00,18.05.23
24,bihar,5883,386,107.7,98.2,-3.3,365,5.44,18.05.23
25,dvc,3628,0,76.3,-38.8,1.7,409,0.00,18.05.23
26,jharkhand,1760,0,34.5,29.4,-3.6,185,1.83,18.05.23
27,odisha,6588,0,132.8,58.9,-2.1,479,0.00,18.05.23
28,westbengal,9321,0,178.9,48.6,-3.8,405,0.00,18.05.23
29,sikkim,96,0,1.4,1.3,0.2,49,0.00,18.05.23
30,railways_east,11,0,0.1,0.2,-0.1,0,0.00,18.05.23
31,arunachalpradesh,162,0,2.7,2.8,-0.1,41,0.00,18.05.23
32,assam,1746,0,30.0,23.4,0.6,143,0.38,18.05.23
33,manipur,175,0,2.3,2.3,-0.1,45,0.00,18.05.23
34,meghalaya,301,21,4.8,3.2,-0.1,71,1.43,18.05.23
35,mizoram,114,0,1.7,1.7,-0.2,11,0.00,18.05.23
36,nagaland,142,0,2.4,2.4,-0.1,12,0.00,18.05.23
37,tripura,244,0,3.6,3.9,-0.4,33,0.00,18.05.23
0,punjab,11997,0,244.7,126.1,-2.1,161,0.00,18.06.23
1,haryana,10119,0,208.5,145.8,-1.0,213,0.66,18.06.23
2,rajasthan,9311,0,203.6,40.4,-5.6,462,0.00,18.06.23
3,delhi,6308,0,126.7,112.7,-1.8,111,0.00,18.06.23
4,up,26383,0,543.4,265.6,-2.8,355,0.00,18.06.23
5,uttarakhand,2367,0,48.6,20.2,-1.7,42,0.01,18.06.23
6,hp,1463,0,30.2,-3.7,-0.3,74,0.04,18.06.23
7,j&k(ut)&ladakh(ut),2450,0,50.5,25.0,-0.4,197,0.23,18.06.23
8,chandigarh,307,0,6.2,6.4,-0.2,10,0.00,18.06.23
9,railways_north,184,0,3.8,3.3,0.5,52,0.00,18.06.23
10,chhattisgarh,5137,0,118.0,62.0,-1.1,339,0.00,18.06.23
11,gujarat,14996,0,312.3,141.5,-1.8,528,0.00,18.06.23
12,mp,11227,0,247.0,116.2,-4.5,302,0.00,18.06.23
13,maharashtra,26212,0,599.3,191.9,1.6,1740,0.30,18.06.23
14,goa,658,0,13.1,12.2,0.4,74,0.00,18.06.23
15,dnhddpdcl,1274,0,28.7,29.0,-0.3,109,0.00,18.06.23
16,amnsil,824,0,17.8,8.7,0.2,277,0.00,18.06.23
17,balco,522,0,12.5,12.3,0.2,118,0.00,18.06.23
18,andhrapradesh,12325,0,251.5,80.5,-0.9,652,0.00,18.06.23
19,telangana,10587,0,210.7,94.4,0.8,535,0.00,18.06.23
20,karnataka,13506,0,259.4,74.8,1.4,658,0.00,18.06.23
21,kerala,3648,0,73.0,58.4,1.3,399,0.00,18.06.23
22,tamilnadu,15729,0,345.6,158.0,-5.9,383,0.00,18.06.23
23,puducherry,453,0,9.6,9.7,-0.8,33,0.00,18.06.23
24,bihar,6773,0,146.6,138.5,-1.7,213,1.36,18.06.23
25,dvc,3591,0,78.2,-47.3,-0.4,338,0.00,18.06.23
26,jharkhand,1873,0,40.4,33.5,-1.9,161,0.00,18.06.23
27,odisha,6712,0,127.5,56.0,-1.9,484,0.20,18.06.23
28,westbengal,10634,0,206.7,79.1,-3.4,427,0.00,18.06.23
