,Category,NR,WR,SR,ER,NER,Total,Date,TOTAL
8,Actual(MU),407.9,-255.9,-21.6,-147.1,-1.3,,04.09.23,-18.0
9,O/D/U/D(MU),-11.1,-3.0,-0.7,-5.7,2.6,,04.09.23,-17.9
10,Central,3104,7907,4908,1960,205,,04.09.23,18083
11,State,4305,8865,4412,2344,256,,04.09.23,20181
12,Coal,833,1528,636,645,15,,04.09.23,3656
13,Lignite,30,13,57,0,0,,04.09.23,100
14,Hydro,361,87,53,121,34,,04.09.23,655
15,Nuclear,29,54,46,0,0,,04.09.23,129
0,Demand Met during Evening Peak hrs(MW),62892,61821,48485,22992,3170,,04.10.23,199360
1,Peak Shortage (MW),224,1357,1140,0,230,,04.10.23,2951
2,Energy Met (MU),1367,1376,1219,494,61,,04.10.23,4517
3,Hydro Gen (MU),206,83,92,84,28,,04.10.23,493
4,Wind Gen (MU),22,61,95,-,-,,04.10.23,179
5,Solar Gen (MU),137.38,66.64,116.78,1.99,0.88,,04.10.23,324
6,Energy Shortage (MU),4.22,3.01,2.68,0.50,0.88,,04.10.23,11.29
7,Schedule(MU),243.8,-257.2,162.9,-148.5,-1.1,,04.10.23,0.0
8,Actual(MU),218.3,-263.3,197.4,-156.6,-3.7,,04.10.23,-7.8
9,O/D/U/D(MU),-25.5,-6.1,34.6,-8.2,-2.6,,04.10.23,-7.8
10,Central,4159,12078,6758,3766,505,,04.10.23,27265
11,State,5946,10279,6282,3710,129,,04.10.23,26346
12,Coal,782,1453,657,617,16,,04.10.23,3526
13,Lignite,30,17,35,0,0,,04.10.23,83
14,Hydro,206,83,92,84,28,,04.10.23,493
15,Nuclear,25,53,66,0,0,,04.10.23,143
0,Demand Met during Evening Peak hrs(MW),46306,58599,48318,22953,2628,,05.04.23,178804
1,Peak Shortage (MW),35,0,0,183,17,,05.04.23,235
2,Energy Met (MU),988,1404,1257,510,46,,05.04.23,4205
3,Hydro Gen (MU),122,69,73,43,15,,05.04.23,321
4,Wind Gen (MU),17,132,28,-,-,,05.04.23,178
5,Solar Gen (MU),141.68,58.85,126.20,6.03,0.93,,05.04.23,334
6,Energy Shortage (MU),1.18,0.00,0.00,1.77,0.93,,05.04.23,3.88
7,Schedule(MU),86.9,-155.9,218.8,-142.7,-7.1,,05.04.23,0.0
8,Actual(MU),70.3,-136.2,226.6,-157.0,-8.5,,05.04.23,-4.8
9,O/D/U/D(MU),-16.6,19.7,7.9,-14.4,-1.4,,05.04.23,-4.8
10,Central,5537,13281,3238,1175,534,,05.04.23,23764
11,State,10155,12451,4251,890,247,,05.04.23,27993
12,Coal,627,1319,712,715,15,,05.04.23,3388
13,Lignite,22,22,69,0,0,,05.04.23,113
14,Hydro,122,69,73,43,15,,05.04.23,321
15,Nuclear,30,34,70,0,0,,05.04.23,134
0,Demand Met during Evening Peak hrs(MW),52753,56530,44854,24432,2681,,05.05.23,181273
1,Peak Shortage (MW),0,0,0,450,213,,05.05.23,663
2,Energy Met (MU),1113,1293,1032,514,51,,05.05.23,4003
3,Hydro Gen (MU),207,30,78,48,11,,05.05.23,374
4,Wind Gen (MU),17,56,35,-,-,,05.05.23,108
5,Solar Gen (MU),139.46,60.11,92.94,2.74,1.03,,05.05.23,296
6,Energy Shortage (MU),1.07,0.00,0.00,2.50,1.53,,05.05.23,5.10
7,Schedule(MU),160.7,-154.2,106.3,-116.0,3.2,,05.05.23,0.0
8,Actual(MU),147.0,-147.7,119.0,-128.3,5.4,,05.05.23,-4.7
9,O/D/U/D(MU),-13.7,6.5,12.7,-12.3,2.1,,05.05.23,-4.7
10,Central,8047,11500,5458,1480,460,,05.05.23,26945
11,State,9975,14885,5281,1440,285,,05.05.23,31865
12,Coal,597,1315,641,671,15,,05.05.23,3239
13,Lignite,22,19,52,0,0,,05.05.23,92
14,Hydro,207,30,78,48,11,,05.05.23,374
15,Nuclear,29,36,56,0,0,,05.05.23,122
0,Demand Met during Evening Peak hrs(MW),61147,61419,48358,26969,3393,,05.06.23,201286
1,Peak Shortage (MW),160,0,0,136,76,,05.06.23,372
2,Energy Met (MU),1352,1423,1167,616,65,,05.06.23,4622
3,Hydro Gen (MU),225,39,61,63,8,,05.06.23,397
4,Wind Gen (MU),11,140,172,-,-,,05.06.23,324
5,Solar Gen (MU),129.86,66.73,128.05,2.91,1.26,,05.06.23,329
6,Energy Shortage (MU),2.39,0.51,0.00,1.60,2.17,,05.06.23,6.67
7,Schedule(MU),217.4,-255.0,72.2,-55.1,20.4,,05.06.23,0.0
8,Actual(MU),199.2,-249.5,80.8,-59.4,23.2,,05.06.23,-5.6
9,O/D/U/D(MU),-18.2,5.6,8.5,-4.3,2.8,,05.06.23,-5.6
10,Central,1445,7272,6118,270,830,,05.06.23,15935
11,State,5910,14155,4369,2570,316,,05.06.23,27319
12,Coal,791,1478,670,691,16,,05.06.23,3646
13,Lignite,19,19,54,0,0,,05.06.23,91
14,Hydro,225,39,61,63,8,,05.06.23,397
15,Nuclear,30,32,46,0,0,,05.06.23,107
0,Demand Met during Evening Peak hrs(MW),66103,56104,44448,25387,3295,,05.07.23,195337
1,Peak Shortage (MW),0,0,0,456,9,,05.07.23,465
2,Energy Met (MU),1538,1324,1050,569,65,,05.07.23,4547
3,Hydro Gen (MU),391,44,49,128,25,,05.07.23,636
4,Wind Gen (MU),35,73,250,-,-,,05.07.23,358
5,Solar Gen (MU),127.95,46.18,87.18,5.26,1.19,,05.07.23,268
6,Energy Shortage (MU),0.44,0.00,0.00,1.98,1.00,,05.07.23,3.42
7,Schedule(MU),300.8,-222.3,24.8,-108.6,5.4,,05.07.23,0.0
8,Actual(MU),273.3,-219.8,35.4,-105.4,8.9,,05.07.23,-7.6
9,O/D/U/D(MU),-27.5,2.5,10.7,3.2,3.5,,05.07.23,-7.6
10,Central,3100,10796,7408,2220,818,,05.07.23,24342
11,State,8520,13723,6258,2200,261,,05.07.23,30962
12,Coal,726,1426,578,596,14,,05.07.23,3341
13,Lignite,23,14,48,0,0,,05.07.23,85
14,Hydro,391,44,49,128,25,,05.07.23,636
15,Nuclear,25,46,46,0,0,,05.07.23,116
0,Demand Met during Evening Peak hrs(MW),71939,53587,49829,26840,3313,,05.08.23,205508
1,Peak Shortage (MW),308,0,100,157,6,,05.08.23,571
2,Energy Met (MU),1603,1235,1192,581,64,,05.08.23,4674
3,Hydro Gen (MU),430,97,92,138,33,,05.08.23,789
4,Wind Gen (MU),34,181,210,-,-,,05.08.23,425
5,Solar Gen (MU),124.04,40.15,128.60,4.73,0.81,,05.08.23,298
6,Energy Shortage (MU),1.42,0.00,0.28,1.52,0.55,,05.08.23,3.77
7,Schedule(MU),304.5,-329.7,138.2,-104.1,-6.0,,05.08.23,3.0
8,Actual(MU),273.2,-327.1,158.2,-104.2,-5.4,,05.08.23,-5.2
9,O/D/U/D(MU),-31.3,2.6,20.0,-0.1,0.7,,05.08.23,-8.1
10,Central,3022,11589,6378,2360,271,,05.08.23,23621
11,State,6080,15796,8833,2830,131,,05.08.23,33669
12,Coal,739,1254,521,613,15,,05.08.23,3141
13,Lignite,27,10,53,0,0,,05.08.23,90
14,Hydro,430,97,92,138,33,,05.08.23,789
15,Nuclear,29,50,70,0,0,,05.08.23,150
0,Demand Met during Evening Peak hrs(MW),73951,63325,43165,25544,3332,,05.09.23,209317
1,Peak Shortage (MW),1019,0,0,410,45,,05.09.23,1474
2,Energy Met (MU),1784,1567,1017,561,71,,05.09.23,5000
3,Hydro Gen (MU),348,76,61,122,34,,05.09.23,641
4,Wind Gen (MU),10,88,198,-,-,,05.09.23,297
5,Solar Gen (MU),136.89,58.39,54.99,1.92,1.29,,05.09.23,253
6,Energy Shortage (MU),6.41,3.75,0.00,2.36,0.87,,05.09.23,13.39
7,Schedule(MU),435.5,-219.8,-53.1,-157.0,-5.6,,05.09.23,0.0
8,Actual(MU),425.1,-222.3,-46.1,-159.0,-3.0,,05.09.23,-5.3
9,O/D/U/D(MU),-10.4,-2.5,7.0,-2.0,2.7,,05.09.23,-5.3
10,Central,2214,9275,4748,1370,340,,05.09.23,17946
11,State,4786,8240,4152,2494,266,,05.09.23,19937
12,Coal,845,1529,671,664,17,,05.09.23,3726
13,Lignite,30,15,58,0,0,,05.09.23,103
14,Hydro,348,76,61,122,34,,05.09.23,641
15,Nuclear,29,54,49,0,0,,05.09.23,132
0,Demand Met during Evening Peak hrs(MW),61972,62954,48843,23694,3131,,05.10.23,200594
1,Peak Shortage (MW),335,183,750,196,0,,05.10.23,1464
2,Energy Met (MU),1378,1390,1233,498,59,,05.10.23,4558
3,Hydro Gen (MU),198,91,77,93,30,,05.10.23,488
4,Wind Gen (MU),32,77,68,-,-,,05.10.23,177
5,Solar Gen (MU),138.01,66.74,119.36,2.32,0.54,,05.10.23,327
6,Energy Shortage (MU),3.40,0.27,3.90,0.66,0.00,,05.10.23,8.23
7,Schedule(MU),219.7,-293.0,207.4,-131.6,-2.5,,05.10.23,0.0
8,Actual(MU),212.3,-306.6,237.1,-139.6,-8.3,,05.10.23,-5.1
9,O/D/U/D(MU),-7.3,-13.6,29.7,-8.0,-5.8,,05.10.23,-5.1
10,Central,3478,10927,4978,3066,355,,05.10.23,22803
11,State,4676,9860,7259,3320,129,,05.10.23,25244
12,Coal,801,1466,672,599,17,,05.10.23,3555
13,Lignite,30,15,37,0,0,,05.10.23,82
14,Hydro,198,91,77,93,30,,05.10.23,488
15,Nuclear,25,53,67,0,0,,05.10.23,144
0,Demand Met during Evening Peak hrs(MW),48858,58488,48879,22857,2623,,06.04.23,181705
1,Peak Shortage (MW),0,0,0,178,66,,06.04.23,244
2,Energy Met (MU),994,1409,1276,506,47,,06.04.23,4232
3,Hydro Gen (MU),119,67,80,38,10,,06.04.23,314
4,Wind Gen (MU),41,111,32,-,-,,06.04.23,184
5,Solar Gen (MU),138.56,59.81,120.88,5.31,1.20,,06.04.23,326
6,Energy Shortage (MU),2.35,0.00,0.00,3.18,1.34,,06.04.23,6.87
7,Schedule(MU),63.3,-137.0,229.6,-150.9,-5.0,,06.04.23,0.0
8,Actual(MU),44.7,-119.3,242.0,-165.8,-4.8,,06.04.23,-3.1
9,O/D/U/D(MU),-18.6,17.8,12.3,-14.9,0.2,,06.04.23,-3.1
10,Central,5247,12311,3448,980,534,,06.04.23,22519
11,State,11030,11646,4576,1100,348,,06.04.23,28699
12,Coal,643,1334,711,732,17,,06.04.23,3436
13,Lignite,23,22,68,0,0,,06.04.23,112
14,Hydro,119,67,80,38,10,,06.04.23,314
15,Nuclear,30,33,70,0,0,,06.04.23,134
0,Demand Met during Evening Peak hrs(MW),53244,57453,44136,24683,2895,,06.05.23,182411
1,Peak Shortage (MW),240,86,0,443,32,,06.05.23,801
2,Energy Met (MU),1156,1345,1020,535,53,,06.05.23,4109
3,Hydro Gen (MU),196,40,66,46,13,,06.05.23,360
4,Wind Gen (MU),16,59,46,-,-,,06.05.23,120
5,Solar Gen (MU),131.99,60.25,114.08,2.88,1.14,,06.05.23,310
6,Energy Shortage (MU),0.93,0.63,0.00,2.95,1.21,,06.05.23,5.72
7,Schedule(MU),176.9,-162.6,96.3,-113.4,2.7,,06.05.23,0.0
8,Actual(MU),164.5,-150.3,89.4,-114.6,2.8,,06.05.23,-8.2
9,O/D/U/D(MU),-12.5,12.3,-6.9,-1.2,0.1,,06.05.23,-8.2
10,Central,7997,11564,6708,980,425,,06.05.23,27674
11,State,8185,14300,4601,1440,264,,06.05.23,28789
12,Coal,645,1358,622,686,15,,06.05.23,3326
13,Lignite,22,19,47,0,0,,06.05.23,88
14,Hydro,196,43,66,46,13,,06.05.23,363
15,Nuclear,29,36,69,0,0,,06.05.23,135
0,Demand Met during Evening Peak hrs(MW),58524,63198,47664,27445,3458,,06.06.23,200289
1,Peak Shortage (MW),127,0,0,0,54,,06.06.23,181
2,Energy Met (MU),1364,1475,1182,626,68,,06.06.23,4715
3,Hydro Gen (MU),225,51,65,70,8,,06.06.23,418
4,Wind Gen (MU),31,150,168,-,-,,06.06.23,349
5,Solar Gen (MU),120.33,66.40,122.67,2.98,1.08,,06.06.23,313
6,Energy Shortage (MU),2.42,1.76,0.00,1.70,1.84,,06.06.23,7.72
7,Schedule(MU),210.9,-244.1,69.8,-62.1,25.4,,06.06.23,0.0
8,Actual(MU),176.5,-253.2,99.9,-57.8,27.6,,06.06.23,-7.0
9,O/D/U/D(MU),-34.5,-9.1,30.1,4.3,2.2,,06.06.23,-7.0
10,Central,1445,6170,5518,470,830,,06.06.23,14433
11,State,5060,11718,4038,2158,266,,06.06.23,23239
12,Coal,797,1493,680,696,16,,06.06.23,3682
13,Lignite,22,20,50,0,0,,06.06.23,91
14,Hydro,225,51,65,70,8,,06.06.23,418
15,Nuclear,30,32,46,0,0,,06.06.23,107
0,Demand Met during Evening Peak hrs(MW),64081,54429,44142,26259,3299,,06.07.23,192210
1,Peak Shortage (MW),20,0,0,0,13,,06.07.23,33
2,Energy Met (MU),1429,1284,1045,568,62,,06.07.23,4387
3,Hydro Gen (MU),386,38,46,125,24,,06.07.23,619
4,Wind Gen (MU),13,71,268,-,-,,06.07.23,352
5,Solar Gen (MU),108.99,39.39,82.74,2.17,0.87,,06.07.23,234
6,Energy Shortage (MU),0.53,0.00,0.00,0.12,1.29,,06.07.23,1.94
7,Schedule(MU),276.0,-210.3,34.7,-105.3,4.9,,06.07.23,0.0
8,Actual(MU),253.5,-205.3,39.2,-101.5,7.9,,06.07.23,-6.2
9,O/D/U/D(MU),-22.5,5.0,4.5,3.8,3.1,,06.07.23,-6.1
10,Central,2614,8378,7768,1500,668,,06.07.23,20927
11,State,8340,13347,7213,2200,251,,06.07.23,31351
12,Coal,680,1381,558,609,13,,06.07.23,3241
13,Lignite,21,14,47,0,0,,06.07.23,81
14,Hydro,386,38,46,125,24,,06.07.23,619
15,Nuclear,25,45,46,0,0,,06.07.23,116
0,Demand Met during Evening Peak hrs(MW),68983,51945,46645,26061,3030,,06.08.23,196664
1,Peak Shortage (MW),0,0,0,0,16,,06.08.23,16
2,Energy Met (MU),1555,1212,1147,559,61,,06.08.23,4534
3,Hydro Gen (MU),416,98,74,137,34,,06.08.23,758
4,Wind Gen (MU),72,244,207,-,-,,06.08.23,523
5,Solar Gen (MU),124.65,40.09,125.82,4.35,0.64,,06.08.23,296
6,Energy Shortage (MU),0.23,0.00,0.00,0.19,0.42,,06.08.23,0.84
7,Schedule(MU),295.6,-326.1,145.0,-107.6,-6.8,,06.08.23,0.0
8,Actual(MU),270.0,-328.4,164.8,-107.4,-6.3,,06.08.23,-7.3
9,O/D/U/D(MU),-25.6,-2.2,19.8,0.3,0.5,,06.08.23,-7.3
10,Central,5414,13874,6168,2560,271,,06.08.23,28287
11,State,6740,16928,9048,2620,131,,06.08.23,35467
12,Coal,661,1185,499,595,11,,06.08.23,2952
13,Lignite,26,8,47,0,0,,06.08.23,81
14,Hydro,416,98,74,137,34,,06.08.23,758
15,Nuclear,29,50,71,0,0,,06.08.23,150
0,Demand Met during Evening Peak hrs(MW),73649,60160,43894,25696,3134,,06.09.23,206533
1,Peak Shortage (MW),1125,0,0,19,260,,06.09.23,1404
2,Energy Met (MU),1759,1512,1022,562,70,,06.09.23,4926
3,Hydro Gen (MU),333,107,58,119,34,,06.09.23,650
4,Wind Gen (MU),13,100,195,-,-,,06.09.23,309
5,Solar Gen (MU),131.87,53.47,105.17,5.18,1.14,,06.09.23,297
6,Energy Shortage (MU),7.04,0.00,0.00,1.35,1.15,,06.09.23,9.54
7,Schedule(MU),432.8,-209.7,-56.4,-164.0,-2.7,,06.09.23,0.0
8,Actual(MU),427.1,-203.4,-54.7,-171.7,0.4,,06.09.23,-2.3
9,O/D/U/D(MU),-5.7,6.3,1.7,-7.7,3.1,,06.09.23,-2.3
10,Central,2344,11007,5248,1370,205,,06.09.23,20173
11,State,4936,8106,4752,2744,172,,06.09.23,20709
12,Coal,838,1488,641,680,14,,06.09.23,3662
13,Lignite,30,14,56,0,0,,06.09.23,100
14,Hydro,333,107,58,119,34,,06.09.23,650
15,Nuclear,29,53,51,0,0,,06.09.23,134
0,Demand Met during Evening Peak hrs(MW),62576,63178,48804,24309,2946,,06.10.23,201813
1,Peak Shortage (MW),856,357,950,835,0,,06.10.23,2998
2,Energy Met (MU),1401,1430,1243,525,53,,06.10.23,4651
3,Hydro Gen (MU),197,80,94,90,32,,06.10.23,494
4,Wind Gen (MU),46,87,57,-,-,,06.10.23,190
5,Solar Gen (MU),136.66,67.12,127.69,2.43,0.37,,06.10.23,334
6,Energy Shortage (MU),8.05,1.19,11.20,3.24,0.00,,06.10.23,23.68
7,Schedule(MU),215.9,-283.8,188.3,-115.0,-20.0,,06.10.23,-14.7
8,Actual(MU),208.7,-315.6,224.9,-105.6,-16.6,,06.10.23,-4.2
9,O/D/U/D(MU),-7.2,-31.8,36.6,9.5,3.4,,06.10.23,10.4
10,Central,3517,10966,6288,3816,505,,06.10.23,25091
11,State,5021,9363,6159,4120,129,,06.10.23,24791
12,Coal,811,1518,687,591,16,,06.10.23,3624
13,Lignite,29,14,40,0,0,,06.10.23,83
14,Hydro,197,80,94,90,32,,06.10.23,494
15,Nuclear,25,53,58,0,0,,06.10.23,136
0,Demand Met during Evening Peak hrs(MW),49427,55680,47740,23869,2572,,07.04.23,179288
1,Peak Shortage (MW),0,0,0,331,22,,07.04.23,353
2,Energy Met (MU),1025,1378,1248,522,49,,07.04.23,4222
3,Hydro Gen (MU),116,49,72,40,11,,07.04.23,287
4,Wind Gen (MU),44,106,33,-,-,,07.04.23,183
5,Solar Gen (MU),142.49,51.98,113.54,6.07,1.20,,07.04.23,315
6,Energy Shortage (MU),0.90,0.00,0.00,4.67,1.23,,07.04.23,6.80
7,Schedule(MU),60.2,-136.2,230.8,-150.3,-4.4,,07.04.23,0.0
8,Actual(MU),45.9,-127.1,236.4,-160.4,-4.1,,07.04.23,-9.3
9,O/D/U/D(MU),-14.3,9.1,5.7,-10.1,0.3,,07.04.23,-9.3
10,Central,5037,12246,3648,1680,534,,07.04.23,23144
11,State,11055,11061,5681,1670,348,,07.04.23,29814
12,Coal,674,1384,698,733,17,,07.04.23,3506
13,Lignite,22,21,64,0,0,,07.04.23,107
14,Hydro,116,49,72,40,11,,07.04.23,287
15,Nuclear,30,33,69,0,0,,07.04.23,133
0,Demand Met during Evening Peak hrs(MW),52877,55148,40873,24311,2937,,07.05.23,176146
1,Peak Shortage (MW),0,0,0,592,14,,07.05.23,606
2,Energy Met (MU),1125,1325,945,549,53,,07.05.23,3998
3,Hydro Gen (MU),188,29,62,63,11,,07.05.23,353
4,Wind Gen (MU),29,77,42,-,-,,07.05.23,147
5,Solar Gen (MU),134.99,62.82,94.07,5.42,1.38,,07.05.23,299
6,Energy Shortage (MU),0.92,0.00,0.00,1.63,0.89,,07.05.23,3.44
7,Schedule(MU),149.4,-145.8,88.6,-97.8,5.5,,07.05.23,0.0
8,Actual(MU),133.1,-133.8,93.1,-103.4,6.4,,07.05.23,-4.5
9,O/D/U/D(MU),-16.3,12.0,4.5,-5.6,0.9,,07.05.23,-4.5
10,Central,7357,11564,7708,1390,425,,07.05.23,28444
11,State,8110,11944,6421,1690,264,,07.05.23,28428
12,Coal,625,1338,586,666,14,,07.05.23,3229
13,Lignite,22,20,47,0,0,,07.05.23,89
14,Hydro,188,29,62,63,11,,07.05.23,353
15,Nuclear,29,36,56,0,0,,07.05.23,122
0,Demand Met during Evening Peak hrs(MW),63139,62684,47184,26700,3358,,07.06.23,203065
1,Peak Shortage (MW),405,0,0,225,72,,07.06.23,702
2,Energy Met (MU),1398,1491,1165,634,69,,07.06.23,4757
3,Hydro Gen (MU),229,35,62,65,9,,07.06.23,400
4,Wind Gen (MU),18,141,180,-,-,,07.06.23,340
5,Solar Gen (MU),132.05,66.49,117.54,3.10,1.04,,07.06.23,320
6,Energy Shortage (MU),4.01,0.00,0.00,1.33,1.79,,07.06.23,7.13
7,Schedule(MU),235.4,-248.3,49.3,-57.3,20.8,,07.06.23,0.0
8,Actual(MU),205.3,-256.0,70.0,-50.6,25.8,,07.06.23,-5.6
9,O/D/U/D(MU),-30.1,-7.7,20.7,6.6,4.9,,07.06.23,-5.6
10,Central,2166,6305,5518,470,797,,07.06.23,15256
11,State,4735,10236,3718,2924,336,,07.06.23,21948
12,Coal,798,1543,690,697,18,,07.06.23,3746
13,Lignite,20,21,50,0,0,,07.06.23,91
14,Hydro,229,35,62,65,9,,07.06.23,400
15,Nuclear,30,32,46,0,0,,07.06.23,107
0,Demand Met during Evening Peak hrs(MW),66943,53624,43659,26048,3308,,07.07.23,193582
1,Peak Shortage (MW),0,0,0,0,20,,07.07.23,20
2,Energy Met (MU),1461,1257,1069,553,63,,07.07.23,4404
3,Hydro Gen (MU),388,30,53,120,30,,07.07.23,621
4,Wind Gen (MU),12,94,240,-,-,,07.07.23,347
5,Solar Gen (MU),103.23,33.96,89.01,2.35,0.93,,07.07.23,229
6,Energy Shortage (MU),0.54,0.00,0.00,0.50,0.96,,07.07.23,2.00
7,Schedule(MU),311.3,-250.9,50.0,-110.9,0.6,,07.07.23,0.0
8,Actual(MU),290.2,-264.8,71.6,-107.7,4.5,,07.07.23,-6.0
9,O/D/U/D(MU),-21.1,-13.8,21.6,3.3,4.0,,07.07.23,-6.0
10,Central,3750,8619,7268,1500,668,,07.07.23,21806
11,State,6655,13759,5523,2310,251,,07.07.23,28498
12,Coal,682,1398,565,611,12,,07.07.23,3267
13,Lignite,19,14,47,0,0,,07.07.23,79
14,Hydro,388,30,53,120,30,,07.07.23,621
15,Nuclear,25,46,47,0,0,,07.07.23,118
0,Demand Met during Evening Peak hrs(MW),73415,55465,50563,25851,3150,,07.08.23,208444
1,Peak Shortage (MW),150,686,0,404,21,,07.08.23,1261
2,Energy Met (MU),1587,1294,1213,533,60,,07.08.23,4687
3,Hydro Gen (MU),419,105,108,140,33,,07.08.23,805
4,Wind Gen (MU),86,273,189,-,-,,07.08.23,547
5,Solar Gen (MU),127.79,37.41,112.94,1.64,0.81,,07.08.23,281
6,Energy Shortage (MU),1.26,1.29,0.00,1.97,0.35,,07.08.23,4.87
7,Schedule(MU),304.5,-339.7,174.5,-132.2,-7.1,,07.08.23,0.0
8,Actual(MU),270.9,-342.1,209.2,-135.9,-8.3,,07.08.23,-6.3
9,O/D/U/D(MU),-33.6,-2.5,34.8,-3.7,-1.2,,07.08.23,-6.3
10,Central,3992,14725,6258,3680,271,,07.08.23,28926
11,State,5830,16338,10348,2770,152,,07.08.23,35438
12,Coal,673,1240,503,595,13,,07.08.23,3022
13,Lignite,26,9,59,0,0,,07.08.23,94
14,Hydro,419,105,108,140,33,,07.08.23,805
15,Nuclear,29,50,71,0,0,,07.08.23,150
0,Demand Met during Evening Peak hrs(MW),71860,55165,43813,25403,3125,,07.09.23,199366
1,Peak Shortage (MW),0,0,0,0,17,,07.09.23,17
2,Energy Met (MU),1739,1376,1035,554,67,,07.09.23,4770
3,Hydro Gen (MU),325,42,52,114,33,,07.09.23,565
4,Wind Gen (MU),10,190,225,-,-,,07.09.23,425
5,Solar Gen (MU),133.85,44.76,98.96,5.65,1.11,,07.09.23,284
6,Energy Shortage (MU),1.32,0.00,0.00,0.26,0.47,,07.09.23,2.05
7,Schedule(MU),464.3,-293.3,-29.5,-136.4,-5.1,,07.09.23,0.0
8,Actual(MU),455.6,-290.1,-27.4,-139.6,-2.3,,07.09.23,-3.8
9,O/D/U/D(MU),-8.7,3.2,2.0,-3.2,2.9,,07.09.23,-3.8
10,Central,4010,11264,4248,1660,205,,07.09.23,21387
11,State,5991,9619,5490,3124,155,,07.09.23,24378
12,Coal,812,1396,609,646,14,,07.09.23,3477
13,Lignite,29,13,45,0,0,,07.09.23,87
14,Hydro,325,42,52,114,33,,07.09.23,565
15,Nuclear,29,54,65,0,0,,07.09.23,148
0,Demand Met during Evening Peak hrs(MW),61256,63450,48024,24435,2945,,07.10.23,200110
1,Peak Shortage (MW),2748,263,1580,1126,90,,07.10.23,5807
2,Energy Met (MU),1398,1433,1230,546,56,,07.10.23,4662
3,Hydro Gen (MU),205,85,102,86,33,,07.10.23,511
4,Wind Gen (MU),46,65,34,-,-,,07.10.23,146
5,Solar Gen (MU),135.87,66.40,123.92,2.77,0.54,,07.10.23,330
6,Energy Shortage (MU),18.21,1.58,28.84,5.83,0.30,,07.10.23,54.76
7,Schedule(MU),209.9,-299.5,377.6,-80.3,-18.9,,07.10.23,188.8
8,Actual(MU),200.8,-316.6,544.9,-84.2,-14.7,,07.10.23,330.1
9,O/D/U/D(MU),-9.2,-17.1,167.3,-3.9,4.2,,07.10.23,141.4
10,Central,4278,12226,7298,4066,355,,07.10.23,28222
11,State,6156,7209,6171,3310,129,,07.10.23,22975
12,Coal,804,1523,716,590,17,,07.10.23,3650
13,Lignite,24,14,39,0,0,,07.10.23,77
14,Hydro,205,85,102,86,33,,07.10.23,511
15,Nuclear,25,53,46,0,0,,07.10.23,124
0,Demand Met during Evening Peak hrs(MW),49779,57267,48049,23404,2695,,08.04.23,181194
1,Peak Shortage (MW),0,0,0,382,69,,08.04.23,451
2,Energy Met (MU),1034,1395,1230,532,50,,08.04.23,4241
3,Hydro Gen (MU),113,31,70,41,10,,08.04.23,266
4,Wind Gen (MU),30,63,49,-,-,,08.04.23,143
5,Solar Gen (MU),138.98,55.28,121.59,6.07,1.23,,08.04.23,323
6,Energy Shortage (MU),1.75,0.00,0.00,3.08,1.45,,08.04.23,6.28
7,Schedule(MU),72.1,-181.1,224.1,-113.0,-2.2,,08.04.23,0.0
8,Actual(MU),49.9,-167.2,229.3,-122.3,-1.2,,08.04.23,-11.5
9,O/D/U/D(MU),-22.3,13.9,5.2,-9.3,1.0,,08.04.23,-11.5
10,Central,4537,12606,3798,1775,534,,08.04.23,23249
11,State,11330,11766,5721,1830,348,,08.04.23,30994
12,Coal,685,1457,667,704,17,,08.04.23,3530
13,Lignite,25,20,65,0,0,,08.04.23,110
14,Hydro,113,31,70,41,10,,08.04.23,266
15,Nuclear,30,34,63,0,0,,08.04.23,127
0,Demand Met during Evening Peak hrs(MW),57236,53509,44075,25392,3318,,08.07.23,183530
1,Peak Shortage (MW),0,0,0,0,12,,08.07.23,12
2,Energy Met (MU),1304,1243,1071,554,64,,08.07.23,4235
3,Hydro Gen (MU),375,34,53,130,31,,08.07.23,623
4,Wind Gen (MU),5,128,210,-,-,,08.07.23,342
5,Solar Gen (MU),100.14,37.90,88.63,2.24,1.12,,08.07.23,230
6,Energy Shortage (MU),0.19,0.00,0.00,0.95,1.01,,08.07.23,2.15
7,Schedule(MU),261.0,-225.4,63.3,-99.4,0.5,,08.07.23,0.0
8,Actual(MU),222.5,-221.8,94.7,-104.9,3.1,,08.07.23,-6.4
9,O/D/U/D(MU),-38.5,3.6,31.4,-5.6,2.6,,08.07.23,-6.4
10,Central,5931,9911,6768,1700,351,,08.07.23,24662
11,State,8690,15669,5733,2250,251,,08.07.23,32593
12,Coal,578,1222,540,549,11,,08.07.23,2900
13,Lignite,17,12,36,0,0,,08.07.23,65
14,Hydro,372,24,52,130,30,,08.07.23,609
15,Nuclear,22,42,43,0,0,,08.07.23,108
0,Demand Met during Evening Peak hrs(MW),74085,57684,45917,25664,3139,,08.08.23,206489
1,Peak Shortage (MW),708,224,3580,810,56,,08.08.23,5378
2,Energy Met (MU),1650,1350,1224,529,62,,08.08.23,4815
3,Hydro Gen (MU),426,107,119,140,36,,08.08.23,829
4,Wind Gen (MU),73,235,158,-,-,,08.08.23,466
5,Solar Gen (MU),125.05,40.06,103.33,2.07,0.92,,08.08.23,271
6,Energy Shortage (MU),5.87,0.68,18.92,4.55,0.41,,08.08.23,30.43
7,Schedule(MU),293.9,-340.3,210.5,-153.2,-10.8,,08.08.23,0.0
